Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
POST     ; api/arquivo/store                                    ; arquivo.store                    ; App\Http\Controllers\Arquivamento\ArquivamentoController@store              ; api                                                  ;
DELETE   ; api/cadastroopm/destroy/{id}                         ; cadastroopm.destroy              ; App\Http\Controllers\Apresentacao\CadastroOPMController@destroy             ; api                                                  ;
GET|HEAD ; api/cadastroopm/get/{cdopm}                          ; cadastroopm.get                  ; App\Http\Controllers\Apresentacao\CadastroOPMController@get                 ; api                                                  ;
POST     ; api/cadastroopm/store                                ; cadastroopm.store                ; App\Http\Controllers\Apresentacao\CadastroOPMController@store               ; api                                                  ;
PUT      ; api/cadastroopm/update/{id}                          ; cadastroopm.update               ; App\Http\Controllers\Apresentacao\CadastroOPMController@update              ; api                                                  ;
DELETE   ; api/cadastroopmautoridade/destroy/{id}               ; cadastroopmautoridade.destroy    ; App\Http\Controllers\Apresentacao\CadastroOPMAutoridadeController@destroy   ; api                                                  ;
GET|HEAD ; api/cadastroopmautoridade/list/{id}                  ; cadastroopmautoridade.get        ; App\Http\Controllers\Apresentacao\CadastroOPMAutoridadeController@get       ; api                                                  ;
POST     ; api/cadastroopmautoridade/store                      ; cadastroopmautoridade.store      ; App\Http\Controllers\Apresentacao\CadastroOPMAutoridadeController@store     ; api                                                  ;
PUT      ; api/cadastroopmautoridade/update/{id}                ; cadastroopmautoridade.update     ; App\Http\Controllers\Apresentacao\CadastroOPMAutoridadeController@update    ; api                                                  ;
GET|HEAD ; api/comportamento/atual/{rg}                         ; comportamento.atual              ; App\Http\Controllers\Policiais\ComportamentoController@atual                ; api                                                  ;
DELETE   ; api/comportamento/destroy/{id}                       ; comportamento.destroy            ; App\Http\Controllers\Policiais\ComportamentoController@destroy              ; api                                                  ;
GET|HEAD ; api/comportamento/list/{rg}                          ; comportamento.list               ; App\Http\Controllers\Policiais\ComportamentoController@list                 ; api                                                  ;
POST     ; api/comportamento/store                              ; comportamento.store              ; App\Http\Controllers\Policiais\ComportamentoController@store                ; api                                                  ;
PUT      ; api/comportamento/update/{id}                        ; comportamento.update             ; App\Http\Controllers\Policiais\ComportamentoController@update               ; api                                                  ;
GET|HEAD ; api/dados/envolvido/{proc}/{id}/{situacao?}          ; dados.envolvido                  ; App\Http\Controllers\Subform\EnvolvidoController@list                       ; api                                                  ;
GET|HEAD ; api/dados/membros/{proc}/{id}                        ; dados.membros                    ; App\Http\Controllers\Subform\EnvolvidoController@membros                    ; api                                                  ;
GET|HEAD ; api/dados/pm/{rg}                                    ; dados.pm                         ; App\Http\Controllers\Subform\PMController@dados                             ; api                                                  ;
GET|HEAD ; api/dados/proc/{proc}/{ref}/{ano?}                   ; dados.proc                       ; App\Http\Controllers\Subform\ProcController@dados                           ; api                                                  ;
GET|HEAD ; api/dados/showsugest/{type}/{data}                   ; dados.showSugest                 ; App\Http\Controllers\Subform\PMController@showSugest                        ; api                                                  ;
POST     ; api/dados/sugest                                     ; dados.sugestrg                   ; App\Http\Controllers\Subform\PMController@sugest                            ; api                                                  ;
DELETE   ; api/denuncia/destroy/{id}                            ; denuncia.destroy                 ; App\Http\Controllers\Policiais\DenunciadoController@destroy                 ; api                                                  ;
GET|HEAD ; api/denuncia/estaDenunciado/{rg}                     ; denuncia.estaDenunciado          ; App\Http\Controllers\Policiais\DenunciadoController@estaDenunciado          ; api                                                  ;
GET|HEAD ; api/denuncia/list/{rg}                               ; denuncia.list                    ; App\Http\Controllers\Policiais\DenunciadoController@list                    ; api                                                  ;
POST     ; api/denuncia/store                                   ; denuncia.store                   ; App\Http\Controllers\Policiais\DenunciadoController@store                   ; api                                                  ;
PUT      ; api/denuncia/update/{id}                             ; denuncia.update                  ; App\Http\Controllers\Policiais\DenunciadoController@update                  ; api                                                  ;
DELETE   ; api/elogio/destroy/{id}                              ; elogio.destroy                   ; App\Http\Controllers\Policiais\ElogioController@destroy                     ; api                                                  ;
