Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
GET|HEAD ; busca/tramitacao/{ano}                               ; busca.tramitacao                 ; App\Http\Controllers\Busca\BuscaController@tramitacao                       ; web                                                  ;
GET|HEAD ; busca/tramitacaocoger/{ano}                          ; busca.tramitacaocoger            ; App\Http\Controllers\Busca\BuscaController@tramitacaoCoger                  ; web                                                  ;
GET|HEAD ; cd                                                   ; cd.index                         ; App\Http\Controllers\Proc\CdController@index                                ; web,permission:listar-cd                             ;
GET|HEAD ; cd/andamento                                         ; cd.andamento                     ; App\Http\Controllers\Proc\CdController@andamento                            ; web,permission:listar-cd                             ;
GET|HEAD ; cd/apagados                                          ; cd.apagados                      ; App\Http\Controllers\Proc\CdController@apagados                             ; web,role:admin                                       ;
GET|HEAD ; cd/apagar/{id}                                       ; cd.forceDelete                   ; App\Http\Controllers\Proc\CdController@forceDelete                          ; web,role:admin                                       ;
PUT      ; cd/atualizar/{id}                                    ; cd.update                        ; App\Http\Controllers\Proc\CdController@update                               ; web,permission:editar-cd                             ;
GET|HEAD ; cd/criar                                             ; cd.create                        ; App\Http\Controllers\Proc\CdController@create                               ; web,permission:criar-cd                              ;
GET|HEAD ; cd/editar/{ref}/{ano?}                               ; cd.edit                          ; App\Http\Controllers\Proc\CdController@edit                                 ; web,permission:editar-cd                             ;
GET|HEAD ; cd/julgamento                                        ; cd.julgamento                    ; App\Http\Controllers\Proc\CdController@julgamento                           ; web,permission:listar-cd                             ;
GET|HEAD ; cd/lista                                             ; cd.lista                         ; App\Http\Controllers\Proc\CdController@lista                                ; web,permission:listar-cd                             ;
GET|HEAD ; cd/prazos                                            ; cd.prazos                        ; App\Http\Controllers\Proc\CdController@prazos                               ; web,permission:listar-cd                             ;
GET|HEAD ; cd/recuperar/{id}                                    ; cd.restore                       ; App\Http\Controllers\Proc\CdController@restore                              ; web,role:admin                                       ;
GET|HEAD ; cd/rel_situacao                                      ; cd.rel_situacao                  ; App\Http\Controllers\Proc\CdController@rel_situacao                         ; web,permission:listar-cd                             ;
GET|HEAD ; cd/remover/{id}                                      ; cd.destroy                       ; App\Http\Controllers\Proc\CdController@destroy                              ; web,permission:apagar-cd                             ;
POST     ; cd/salvar                                            ; cd.store                         ; App\Http\Controllers\Proc\CdController@store                                ; web,permission:criar-cd                              ;
GET|HEAD ; cd/ver/{ref}/{ano?}                                  ; cd.show                          ; App\Http\Controllers\Proc\CdController@show                                 ; web,permission:ver-cd                                ;
GET|HEAD ; cj                                                   ; cj.index                         ; App\Http\Controllers\Proc\CjController@index                                ; web,permission:listar-cj                             ;
GET|HEAD ; cj/andamento                                         ; cj.andamento                     ; App\Http\Controllers\Proc\CjController@andamento                            ; web,permission:listar-cj                             ;
GET|HEAD ; cj/apagados                                          ; cj.apagados                      ; App\Http\Controllers\Proc\CjController@apagados                             ; web,role:admin                                       ;
GET|HEAD ; cj/apagar/{id}                                       ; cj.forceDelete                   ; App\Http\Controllers\Proc\AdlController@forceDelete                         ; web,role:admin                                       ;
PUT      ; cj/atualizar/{id}                                    ; cj.update                        ; App\Http\Controllers\Proc\CjController@update                               ; web,permission:editar-cj                             ;
GET|HEAD ; cj/criar                                             ; cj.create                        ; App\Http\Controllers\Proc\CjController@create                               ; web,permission:criar-cj                              ;
GET|HEAD ; cj/editar/{ref}/{ano?}                               ; cj.edit                          ; App\Http\Controllers\Proc\CjController@edit                                 ; web,permission:editar-cj                             ;
GET|HEAD ; cj/julgamento                                        ; cj.julgamento                    ; App\Http\Controllers\Proc\CjController@julgamento                           ; web,permission:listar-cj                             ;
GET|HEAD ; cj/lista                                             ; cj.lista                         ; App\Http\Controllers\Proc\CjController@lista                                ; web,permission:listar-cj                             ;
GET|HEAD ; cj/prazos                                            ; cj.prazos                        ; App\Http\Controllers\Proc\CjController@prazos                               ; web,permission:listar-cj                             ;
GET|HEAD ; cj/recuperar/{id}                                    ; cj.restore                       ; App\Http\Controllers\Proc\AdlController@restore                             ; web,role:admin                                       ;
GET|HEAD ; cj/rel_situacao                                      ; cj.rel_situacao                  ; App\Http\Controllers\Proc\CjController@rel_situacao                         ; web,permission:listar-cj                             ;
GET|HEAD ; cj/remover/{id}                                      ; cj.destroy                       ; App\Http\Controllers\Proc\CjController@destroy                              ; web,permission:apagar-cj                             ;
POST     ; cj/salvar                                            ; cj.store                         ; App\Http\Controllers\Proc\CjController@store                                ; web,permission:criar-cj                              ;
GET|HEAD ; cj/ver/{ref}/{ano?}                                  ; cj.show                          ; App\Http\Controllers\Proc\CjController@show                                 ; web,permission:ver-cj                                ;
GET|HEAD ; comportamento/apagados                               ; comportamento.apagados           ; App\Http\Controllers\Policiais\ComportamentoController@apagados             ; web,role:admin                                       ;
GET|HEAD ; comportamento/apagar/{id}                            ; comportamento.forceDelete        ; App\Http\Controllers\Policiais\ComportamentoController@forceDelete          ; web,role:admin                                       ;
PUT      ; comportamento/atualizar/{id}                         ; comportamento.update             ; App\Http\Controllers\Policiais\ComportamentoController@update               ; web,permission:editar-comportamento                  ;
GET|HEAD ; comportamento/criar                                  ; comportamento.create             ; App\Http\Controllers\Policiais\ComportamentoController@create               ; web,permission:criar-comportamento                   ;
GET|HEAD ; comportamento/editar/{id}                            ; comportamento.edit               ; App\Http\Controllers\Policiais\ComportamentoController@edit                 ; web,permission:editar-comportamento                  ;
GET|HEAD ; comportamento/recuperar/{id}                         ; comportamento.restore            ; App\Http\Controllers\Policiais\ComportamentoController@restore              ; web,role:admin                                       ;
GET|HEAD ; comportamento/remover/{id}                           ; comportamento.destroy            ; App\Http\Controllers\Policiais\ComportamentoController@destroy              ; web,permission:apagar-comportamento                  ;
POST     ; comportamento/salvar                                 ; comportamento.store              ; App\Http\Controllers\Policiais\ComportamentoController@store                ; web,permission:criar-comportamento                   ;
GET|HEAD ; comportamento/{posto}/{parte?}                       ; comportamento.index              ; App\Http\Controllers\Policiais\ComportamentoController@index                ; web,permission:listar-comportamento                  ;
GET|HEAD ; correicao/extraordinaria                             ; correicao.extraordinaria.index   ; App\Http\Controllers\Correicoes\CorreicaoExtraordinariaController@index     ; web,permission:listar-correicao-extraordinaria       ;
PUT      ; correicao/extraordinaria/atualizar/{id}              ; correicao.extraordinaria.update  ; App\Http\Controllers\Correicoes\CorreicaoExtraordinariaController@update    ; web,permission:editar-correicao-extraordinaria       ;
GET|HEAD ; correicao/extraordinaria/criar                       ; correicao.extraordinaria.create  ; App\Http\Controllers\Correicoes\CorreicaoExtraordinariaController@create    ; web,permission:criar-correicao-extraordinaria        ;
GET|HEAD ; correicao/extraordinaria/editar/{id}                 ; correicao.extraordinaria.edit    ; App\Http\Controllers\Correicoes\CorreicaoExtraordinariaController@edit      ; web,permission:editar-correicao-extraordinaria       ;
DELETE   ; correicao/extraordinaria/remover/{id}                ; correicao.extraordinaria.destroy ; App\Http\Controllers\Correicoes\CorreicaoExtraordinariaController@destroy   ; web,permission:apagar-correicao-extraordinaria       ;
POST     ; correicao/extraordinaria/salvar                      ; correicao.extraordinaria.store   ; App\Http\Controllers\Correicoes\CorreicaoExtraordinariaController@store     ; web,permission:criar-correicao-extraordinaria        ;
GET|HEAD ; correicao/ordinaria                                  ; correicao.ordinaria.index        ; App\Http\Controllers\Correicoes\CorreicaoOrdinariaController@index          ; web,permission:listar-correicao-ordinaria            ;
PUT      ; correicao/ordinaria/atualizar/{id}                   ; correicao.ordinaria.update       ; App\Http\Controllers\Correicoes\CorreicaoOrdinariaController@update         ; web,permission:editar-correicao-ordinaria            ;
GET|HEAD ; correicao/ordinaria/criar                            ; correicao.ordinaria.create       ; App\Http\Controllers\Correicoes\CorreicaoOrdinariaController@create         ; web,permission:criar-correicao-ordinaria             ;
GET|HEAD ; correicao/ordinaria/editar/{id}                      ; correicao.ordinaria.edit         ; App\Http\Controllers\Correicoes\CorreicaoOrdinariaController@edit           ; web,permission:editar-correicao-ordinaria            ;
DELETE   ; correicao/ordinaria/remover/{id}                     ; correicao.ordinaria.destroy      ; App\Http\Controllers\Correicoes\CorreicaoOrdinariaController@destroy        ; web,permission:apagar-correicao-ordinaria            ;
POST     ; correicao/ordinaria/salvar                           ; correicao.ordinaria.store        ; App\Http\Controllers\Correicoes\CorreicaoOrdinariaController@store          ; web,permission:criar-correicao-ordinaria             ;
GET|HEAD ; denunciado                                           ; denunciado.index                 ; App\Http\Controllers\Policiais\DenunciadoController@index                   ; web,permission:listar-denunciados                    ;
GET|HEAD ; denunciado/apagados                                  ; denunciado.apagados              ; App\Http\Controllers\Policiais\DenunciadoController@apagados                ; web,role:admin                                       ;
GET|HEAD ; denunciado/apagar/{id}                               ; denunciado.forceDelete           ; App\Http\Controllers\Policiais\DenunciadoController@forceDelete             ; web,role:admin                                       ;
PUT      ; denunciado/atualizar/{id}                            ; denunciado.update                ; App\Http\Controllers\Policiais\DenunciadoController@update                  ; web,permission:editar-denunciados                    ;
GET|HEAD ; denunciado/criar                                     ; denunciado.create                ; App\Http\Controllers\Policiais\DenunciadoController@create                  ; web,permission:criar-denunciados                     ;
GET|HEAD ; denunciado/denunciados                               ; denunciado.denunciados           ; App\Http\Controllers\Policiais\DenunciadoController@listaDenunciados        ; web,permission:listar-denunciados                    ;
GET|HEAD ; denunciado/editar/{id}                               ; denunciado.edit                  ; App\Http\Controllers\Policiais\DenunciadoController@edit                    ; web,permission:editar-denunciados                    ;
GET|HEAD ; denunciado/recuperar/{id}                            ; denunciado.restore               ; App\Http\Controllers\Policiais\DenunciadoController@restore                 ; web,role:admin                                       ;
GET|HEAD ; denunciado/remover/{id}                              ; denunciado.destroy               ; App\Http\Controllers\Policiais\DenunciadoController@destroy                 ; web,permission:apagar-denunciados                    ;
POST     ; denunciado/salvar                                    ; denunciado.store                 ; App\Http\Controllers\Policiais\DenunciadoController@store                   ; web,permission:criar-denunciados                     ;
GET|HEAD ; desercao                                             ; desercao.index                   ; App\Http\Controllers\Proc\DesercaoController@index                          ; web,permission:listar-desercao                       ;
GET|HEAD ; desercao/apagados                                    ; desercao.apagados                ; App\Http\Controllers\Proc\DesercaoController@apagados                       ; web,role:admin                                       ;
GET|HEAD ; desercao/apagar/{id}                                 ; desercao.forceDelete             ; App\Http\Controllers\Proc\DesercaoController@forceDelete                    ; web,role:admin                                       ;
PUT      ; desercao/atualizar/{id}                              ; desercao.update                  ; App\Http\Controllers\Proc\DesercaoController@update                         ; web,permission:editar-desercao                       ;
GET|HEAD ; desercao/criar                                       ; desercao.create                  ; App\Http\Controllers\Proc\DesercaoController@create                         ; web,permission:criar-desercao                        ;
GET|HEAD ; desercao/editar/{ref}/{ano?}                         ; desercao.edit                    ; App\Http\Controllers\Proc\DesercaoController@edit                           ; web,permission:editar-desercao                       ;
GET|HEAD ; desercao/lista                                       ; desercao.lista                   ; App\Http\Controllers\Proc\DesercaoController@lista                          ; web,permission:listar-desercao                       ;
GET|HEAD ; desercao/recuperar/{id}                              ; desercao.restore                 ; App\Http\Controllers\Proc\DesercaoController@restore                        ; web,role:admin                                       ;
GET|HEAD ; desercao/rel_situacao                                ; desercao.rel_situacao            ; App\Http\Controllers\Proc\DesercaoController@rel_situacao                   ; web,permission:listar-desercao                       ;
GET|HEAD ; desercao/remover/{id}                                ; desercao.destroy                 ; App\Http\Controllers\Proc\DesercaoController@destroy                        ; web,permission:apagar-desercao                       ;
POST     ; desercao/salvar                                      ; desercao.store                   ; App\Http\Controllers\Proc\DesercaoController@store                          ; web,permission:criar-desercao                        ;
GET|HEAD ; desercao/ver/{ref}/{ano?}                            ; desercao.show                    ; App\Http\Controllers\Proc\DesercaoController@show                           ; web,permission:ver-desercao                          ;
GET|HEAD ; elogio/apagar/{id}                                   ; elogio.forceDelete               ; App\Http\Controllers\Policiais\ElogioController@forceDelete                 ; web,role:admin                                       ;
PUT      ; elogio/atualizar/{id}                                ; elogio.update                    ; App\Http\Controllers\Policiais\ElogioController@update                      ; web,permission:editar-elogios                        ;
GET|HEAD ; elogio/busca                                         ; elogio.index                     ; App\Http\Controllers\Policiais\ElogioController@index                       ; web,permission:listar-elogios                        ;
GET|HEAD ; elogio/criar                                         ; elogio.create                    ; App\Http\Controllers\Policiais\ElogioController@create                      ; web,permission:criar-elogios                         ;
GET|HEAD ; elogio/editar/{id}                                   ; elogio.edit                      ; App\Http\Controllers\Policiais\ElogioController@edit                        ; web,permission:editar-elogios                        ;
GET|HEAD ; elogio/recuperar/{id}                                ; elogio.restore                   ; App\Http\Controllers\Policiais\ElogioController@restore                     ; web,role:admin                                       ;
GET|HEAD ; elogio/remover/{id}                                  ; elogio.destroy                   ; App\Http\Controllers\Policiais\ElogioController@destroy                     ; web,permission:apagar-elogios                        ;
POST     ; elogio/resultado                                     ; elogio.search                    ; App\Http\Controllers\Policiais\ElogioController@search                      ; web,permission:listar-elogios                        ;
POST     ; elogio/salvar                                        ; elogio.store                     ; App\Http\Controllers\Policiais\ElogioController@store                       ; web,permission:criar-elogios                         ;
GET|HEAD ; email                                                ; email.index                      ; App\Http\Controllers\Apresentacao\EmailController@index                     ; web,permission:listar-notas-coger                    ;
PUT      ; email/atualizar/{id}                                 ; email.update                     ; App\Http\Controllers\Apresentacao\EmailController@update                    ; web,permission:editar-notas-coger                    ;
GET|HEAD ; email/criar                                          ; email.create                     ; App\Http\Controllers\Apresentacao\EmailController@create                    ; web,permission:criar-notas-coger                     ;
GET|HEAD ; email/editar/{ref}/{ano?}                            ; email.edit                       ; App\Http\Controllers\Apresentacao\EmailController@edit                      ; web,permission:editar-notas-coger                    ;
GET|HEAD ; email/remover/{id}                                   ; email.destroy                    ; App\Http\Controllers\Apresentacao\EmailController@destroy                   ; web,permission:apagar-notas-coger                    ;
POST     ; email/salvar                                         ; email.store                      ; App\Http\Controllers\Apresentacao\EmailController@store                     ; web,permission:criar-notas-coger                     ;
GET|HEAD ; excluido/apagar/{id}                                 ; excluido.forceDelete             ; App\Http\Controllers\Policiais\ExcluidoController@forceDelete               ; web,role:admin                                       ;
PUT      ; excluido/atualizar/{id}                              ; excluido.update                  ; App\Http\Controllers\Policiais\ExcluidoController@update                    ; web,permission:editar-excluidos                      ;
GET|HEAD ; excluido/conselho                                    ; excluido.conselho                ; App\Http\Controllers\Policiais\ExcluidoController@conselho                  ; web,permission:listar-excluidos                      ;
GET|HEAD ; excluido/criar                                       ; excluido.create                  ; App\Http\Controllers\Policiais\ExcluidoController@create                    ; web,permission:criar-excluidos                       ;
GET|HEAD ; excluido/editar/{id}                                 ; excluido.edit                    ; App\Http\Controllers\Policiais\ExcluidoController@edit                      ; web,permission:editar-excluidos                      ;
GET|HEAD ; excluido/judicial                                    ; excluido.judicial                ; App\Http\Controllers\Policiais\ExcluidoController@judicial                  ; web,permission:listar-excluidos                      ;
GET|HEAD ; excluido/recuperar/{id}                              ; excluido.restore                 ; App\Http\Controllers\Policiais\ExcluidoController@restore                   ; web,role:admin                                       ;
GET|HEAD ; excluido/remover/{id}                                ; excluido.destroy                 ; App\Http\Controllers\Policiais\ExcluidoController@destroy                   ; web,permission:apagar-excluidos                      ;
POST     ; excluido/salvar                                      ; excluido.store                   ; App\Http\Controllers\Policiais\ExcluidoController@store                     ; web,permission:criar-excluidos                       ;
GET|HEAD ; exclusao                                             ; exclusao.index                   ; App\Http\Controllers\Proc\ExclusaoController@index                          ; web,permission:listar-exclusao                       ;
GET|HEAD ; exclusao/apagados                                    ; exclusao.apagados                ; App\Http\Controllers\Proc\ExclusaoController@apagados                       ; web,role:admin                                       ;
GET|HEAD ; exclusao/apagar/{id}                                 ; exclusao.forceDelete             ; App\Http\Controllers\Proc\ExclusaoController@forceDelete                    ; web,role:admin                                       ;
PUT      ; exclusao/atualizar/{id}                              ; exclusao.update                  ; App\Http\Controllers\Proc\ExclusaoController@update                         ; web,permission:editar-exclusao                       ;
GET|HEAD ; exclusao/criar                                       ; exclusao.create                  ; App\Http\Controllers\Proc\ExclusaoController@create                         ; web,permission:criar-exclusao                        ;
GET|HEAD ; exclusao/editar/{id}                                 ; exclusao.edit                    ; App\Http\Controllers\Proc\ExclusaoController@edit                           ; web,permission:editar-exclusao                       ;
GET|HEAD ; exclusao/lista                                       ; exclusao.lista                   ; App\Http\Controllers\Proc\ExclusaoController@lista                          ; web,permission:listar-exclusao                       ;
GET|HEAD ; exclusao/recuperar/{id}                              ; exclusao.restore                 ; App\Http\Controllers\Proc\ExclusaoController@restore                        ; web,role:admin                                       ;
GET|HEAD ; exclusao/remover/{id}                                ; exclusao.destroy                 ; App\Http\Controllers\Proc\ExclusaoController@destroy                        ; web,permission:apagar-exclusao                       ;
POST     ; exclusao/salvar                                      ; exclusao.store                   ; App\Http\Controllers\Proc\ExclusaoController@store                          ; web,permission:criar-exclusao                        ;
GET|HEAD ; exclusao/ver/{id}                                    ; exclusao.show                    ; App\Http\Controllers\Proc\ExclusaoController@show                           ; web,permission:ver-exclusao                          ;
GET|HEAD ; falecimento                                          ; obitolesao.index                 ; App\Http\Controllers\Policiais\ObitoLesaoController@index                   ; web,permission:listar-obitos-lesoes                  ;
GET|HEAD ; falecimento/apagados                                 ; obitolesao.apagados              ; App\Http\Controllers\Policiais\ObitoLesaoController@apagados                ; web,role:admin                                       ;
GET|HEAD ; falecimento/apagar/{id}                              ; obitolesao.forceDelete           ; App\Http\Controllers\Policiais\ObitoLesaoController@forceDelete             ; web,role:admin                                       ;
PUT      ; falecimento/atualizar/{id}                           ; obitolesao.update                ; App\Http\Controllers\Policiais\ObitoLesaoController@update                  ; web,permission:editar-obitos-lesoes                  ;
GET|HEAD ; falecimento/criar                                    ; obitolesao.create                ; App\Http\Controllers\Policiais\ObitoLesaoController@create                  ; web,permission:criar-obitos-lesoes                   ;
GET|HEAD ; falecimento/editar/{id}                              ; obitolesao.edit                  ; App\Http\Controllers\Policiais\ObitoLesaoController@edit                    ; web,permission:editar-obitos-lesoes                  ;
GET|HEAD ; falecimento/recuperar/{id}                           ; obitolesao.restore               ; App\Http\Controllers\Policiais\ObitoLesaoController@restore                 ; web,role:admin                                       ;
GET|HEAD ; falecimento/remover/{id}                             ; obitolesao.destroy               ; App\Http\Controllers\Policiais\ObitoLesaoController@destroy                 ; web,permission:apagar-obitos-lesoes                  ;
POST     ; falecimento/salvar                                   ; obitolesao.store                 ; App\Http\Controllers\Policiais\ObitoLesaoController@store                   ; web,permission:criar-obitos-lesoes                   ;
GET|HEAD ; fatd                                                 ; fatd.index                       ; App\Http\Controllers\Proc\FatdController@index                              ; web,permission:listar-fatd                           ;
GET|HEAD ; fatd/andamento/{ano}                                 ; fatd.andamento                   ; App\Http\Controllers\Proc\FatdController@andamento                          ; web,permission:listar-fatd                           ;
GET|HEAD ; fatd/apagados/{ano}                                  ; fatd.apagados                    ; App\Http\Controllers\Proc\FatdController@apagados                           ; web,role:admin                                       ;
GET|HEAD ; fatd/apagar/{id}                                     ; fatd.forceDelete                 ; App\Http\Controllers\Proc\FatdController@forceDelete                        ; web,role:admin                                       ;
PUT      ; fatd/atualizar/{id}                                  ; fatd.update                      ; App\Http\Controllers\Proc\FatdController@update                             ; web,permission:editar-fatd                           ;
GET|HEAD ; fatd/criar                                           ; fatd.create                      ; App\Http\Controllers\Proc\FatdController@create                             ; web,permission:criar-fatd                            ;
GET|HEAD ; fatd/editar/{ref}/{ano?}                             ; fatd.edit                        ; App\Http\Controllers\Proc\FatdController@edit                               ; web,permission:editar-fatd                           ;
GET|HEAD ; fatd/julgamento/{ano}                                ; fatd.julgamento                  ; App\Http\Controllers\Proc\FatdController@julgamento                         ; web,permission:listar-fatd                           ;
GET|HEAD ; fatd/lista/{ano}                                     ; fatd.lista                       ; App\Http\Controllers\Proc\FatdController@lista                              ; web,permission:listar-fatd                           ;
GET|HEAD ; fatd/prazos/{ano}                                    ; fatd.prazos                      ; App\Http\Controllers\Proc\FatdController@prazos                             ; web,permission:listar-fatd                           ;
GET|HEAD ; fatd/recuperar/{id}                                  ; fatd.restore                     ; App\Http\Controllers\Proc\FatdController@restore                            ; web,role:admin                                       ;
GET|HEAD ; fatd/rel_situacao/{ano}                              ; fatd.rel_situacao                ; App\Http\Controllers\Proc\FatdController@rel_situacao                       ; web,permission:listar-fatd                           ;
GET|HEAD ; fatd/remover/{id}                                    ; fatd.destroy                     ; App\Http\Controllers\Proc\FatdController@destroy                            ; web,permission:apagar-fatd                           ;
POST     ; fatd/salvar                                          ; fatd.store                       ; App\Http\Controllers\Proc\FatdController@store                              ; web,permission:criar-fatd                            ;
GET|HEAD ; fatd/ver/{ref}/{ano?}                                ; fatd.show                        ; App\Http\Controllers\Proc\FatdController@show                               ; web,permission:ver-fatd                              ;
GET|HEAD ; fdi/{rg}/ver                                         ; fdi.show                         ; App\Http\Controllers\FDI\FdiController@show                                 ; web                                                  ;
GET|HEAD ; feriado                                              ; feriado.index                    ; App\Http\Controllers\Administracao\FeriadoController@index                  ; web,permission:listar-feriados                       ;
PUT      ; feriado/atualizar/{id}                               ; feriado.update                   ; App\Http\Controllers\Administracao\FeriadoController@update                 ; web,permission:editar-feriados                       ;
GET|HEAD ; feriado/criar                                        ; feriado.create                   ; App\Http\Controllers\Administracao\FeriadoController@create                 ; web,permission:criar-feriados                        ;
GET|HEAD ; feriado/editar/{id}                                  ; feriado.edit                     ; App\Http\Controllers\Administracao\FeriadoController@edit                   ; web,permission:editar-feriados                       ;
DELETE   ; feriado/remover/{id}                                 ; feriado.destroy                  ; App\Http\Controllers\Administracao\FeriadoController@destroy                ; web,permission:listar-feriados                       ;
POST     ; feriado/salvar                                       ; feriado.store                    ; App\Http\Controllers\Administracao\FeriadoController@store                  ; web,permission:criar-feriados                        ;
GET|HEAD ; historia                                             ; historia.ver                     ; App\Http\Controllers\Historia\HistoriaController@index                      ; web                                                  ;
PUT      ; historia/atualizar/{id}                              ; historia.update                  ; App\Http\Controllers\Historia\HistoriaController@update                     ; web                                                  ;
DELETE   ; historia/remover/{id}                                ; historia.destroy                 ; App\Http\Controllers\Historia\HistoriaController@destroy                    ; web                                                  ;
POST     ; historia/salvar                                      ; historia.store                   ; App\Http\Controllers\Historia\HistoriaController@store                      ; web                                                  ;
GET|HEAD ; home                                                 ; home                             ; App\Http\Controllers\HomeController@index                                   ; web,checkSession                                     ;
GET|HEAD ; home/{opm}                                           ; home.opm                         ; App\Http\Controllers\HomeController@index                                   ; web,permission:todas-unidades                        ;
GET|HEAD ; ipm                                                  ; ipm.index                        ; App\Http\Controllers\Proc\IpmController@index                               ; web,permission:listar-ipm                            ;
GET|HEAD ; ipm/andamento/{ano}                                  ; ipm.andamento                    ; App\Http\Controllers\Proc\IpmController@andamento                           ; web,permission:listar-ipm                            ;
GET|HEAD ; ipm/apagados/{ano}                                   ; ipm.apagados                     ; App\Http\Controllers\Proc\IpmController@apagados                            ; web,role:admin                                       ;
GET|HEAD ; ipm/apagar/{id}                                      ; ipm.forceDelete                  ; App\Http\Controllers\Proc\IpmController@forceDelete                         ; web,role:admin                                       ;
PUT      ; ipm/atualizar/{id}                                   ; ipm.update                       ; App\Http\Controllers\Proc\IpmController@update                              ; web,permission:editar-ipm                            ;
GET|HEAD ; ipm/criar                                            ; ipm.create                       ; App\Http\Controllers\Proc\IpmController@create                              ; web,permission:criar-ipm                             ;
GET|HEAD ; ipm/editar/{ref}/{ano?}                              ; ipm.edit                         ; App\Http\Controllers\Proc\IpmController@edit                                ; web,permission:editar-ipm                            ;
GET|HEAD ; ipm/lista/{ano}                                      ; ipm.lista                        ; App\Http\Controllers\Proc\IpmController@lista                               ; web,permission:listar-ipm                            ;
GET|HEAD ; ipm/prazos/{ano}                                     ; ipm.prazos                       ; App\Http\Controllers\Proc\IpmController@prazos                              ; web,permission:listar-ipm                            ;
GET|HEAD ; ipm/recuperar/{id}                                   ; ipm.restore                      ; App\Http\Controllers\Proc\IpmController@restore                             ; web,role:admin                                       ;
GET|HEAD ; ipm/rel_situacao/{ano}                               ; ipm.rel_situacao                 ; App\Http\Controllers\Proc\IpmController@rel_situacao                        ; web,permission:listar-ipm                            ;
GET|HEAD ; ipm/remover/{id}                                     ; ipm.destroy                      ; App\Http\Controllers\Proc\IpmController@destroy                             ; web,permission:apagar-ipm                            ;
GET|HEAD ; ipm/resultado/{ano}                                  ; ipm.resultado                    ; App\Http\Controllers\Proc\IpmController@resultado                           ; web,permission:listar-ipm                            ;
POST     ; ipm/salvar                                           ; ipm.store                        ; App\Http\Controllers\Proc\IpmController@store                               ; web,permission:criar-ipm                             ;
GET|HEAD ; ipm/ver/{ref}/{ano?}                                 ; ipm.show                         ; App\Http\Controllers\Proc\IpmController@show                                ; web,permission:ver-ipm                               ;
GET|HEAD ; iso                                                  ; iso.index                        ; App\Http\Controllers\Proc\IsoController@index                               ; web,permission:listar-iso                            ;
GET|HEAD ; iso/andamento                                        ; iso.andamento                    ; App\Http\Controllers\Proc\IsoController@andamento                           ; web,permission:listar-iso                            ;
GET|HEAD ; iso/apagados                                         ; iso.apagados                     ; App\Http\Controllers\Proc\IsoController@apagados                            ; web,role:admin                                       ;
GET|HEAD ; iso/apagar/{id}                                      ; iso.forceDelete                  ; App\Http\Controllers\Proc\IsoController@forceDelete                         ; web,role:admin                                       ;
PUT      ; iso/atualizar/{id}                                   ; iso.update                       ; App\Http\Controllers\Proc\IsoController@update                              ; web,permission:editar-iso                            ;
GET|HEAD ; iso/criar                                            ; iso.create                       ; App\Http\Controllers\Proc\IsoController@create                              ; web,permission:criar-iso                             ;
GET|HEAD ; iso/editar/{ref}/{ano?}                              ; iso.edit                         ; App\Http\Controllers\Proc\IsoController@edit                                ; web,permission:editar-iso                            ;
GET|HEAD ; iso/lista                                            ; iso.lista                        ; App\Http\Controllers\Proc\IsoController@lista                               ; web,permission:listar-iso                            ;
GET|HEAD ; iso/prazos                                           ; iso.prazos                       ; App\Http\Controllers\Proc\IsoController@prazos                              ; web,permission:listar-iso                            ;
GET|HEAD ; iso/recuperar/{id}                                   ; iso.restore                      ; App\Http\Controllers\Proc\IsoController@restore                             ; web,role:admin                                       ;
GET|HEAD ; iso/remover/{id}                                     ; iso.destroy                      ; App\Http\Controllers\Proc\IsoController@destroy                             ; web,permission:apagar-iso                            ;
POST     ; iso/salvar                                           ; iso.store                        ; App\Http\Controllers\Proc\IsoController@store                               ; web,permission:criar-iso                             ;
GET|HEAD ; iso/ver/{ref}/{ano?}                                 ; iso.show                         ; App\Http\Controllers\Proc\IsoController@show                                ; web,permission:ver-iso                               ;
GET|HEAD ; it                                                   ; it.index                         ; App\Http\Controllers\Proc\ItController@index                                ; web,permission:listar-it                             ;
GET|HEAD ; it/andamento/{ano}                                   ; it.andamento                     ; App\Http\Controllers\Proc\ItController@andamento                            ; web,permission:listar-it                             ;
GET|HEAD ; it/apagados/{ano}                                    ; it.apagados                      ; App\Http\Controllers\Proc\ItController@apagados                             ; web,role:admin                                       ;
GET|HEAD ; it/apagar/{id}                                       ; it.forceDelete                   ; App\Http\Controllers\Proc\ItController@forceDelete                          ; web,role:admin                                       ;
PUT      ; it/atualizar/{id}                                    ; it.update                        ; App\Http\Controllers\Proc\ItController@update                               ; web,permission:editar-it                             ;
GET|HEAD ; it/criar                                             ; it.create                        ; App\Http\Controllers\Proc\ItController@create                               ; web,permission:criar-it                              ;
GET|HEAD ; it/documentacao                                      ; it.documentacao                  ; App\Http\Controllers\Proc\ItController@documentacao                         ; web                                                  ;
GET|HEAD ; it/editar/{ref}/{ano?}                               ; it.edit                          ; App\Http\Controllers\Proc\ItController@edit                                 ; web,permission:editar-it                             ;
GET|HEAD ; it/julgamento/{ano}                                  ; it.julgamento                    ; App\Http\Controllers\Proc\ItController@julgamento                           ; web,permission:listar-it                             ;
GET|HEAD ; it/lista/{ano}                                       ; it.lista                         ; App\Http\Controllers\Proc\ItController@lista                                ; web,permission:listar-it                             ;
